id,Player,Team,Pos,GW11,GW12,GW13,GW14,GW15,GW16,Total,Price,Value
431,Amat,Swansea,D,0.19,0.23,0.31,0.19,0.3,0.14,1.36,4.4,0.31
432,Wasilewski,Leicester,D,0.14,0.28,0.24,0.23,0.21,0.24,1.35,4.2,0.32
433,Blackman,Chelsea,GK,0.22,0.28,0.26,0.19,0.22,0.16,1.34,4.5,0.3
434,Vorm,Tottenham,GK,0.09,0.17,0.26,0.24,0.26,0.31,1.32,4.4,0.3
435,Watmore,Sunderland,F,0,0.21,0.24,0.28,0.25,0.32,1.29,4.3,0.3
436,Pritchard,Tottenham,M,0,0.18,0.28,0.25,0.26,0.31,1.27,4.8,0.26
437,Nordfeldt,Swansea,GK,0.14,0.2,0.25,0.21,0.25,0.2,1.25,4.4,0.28
438,Randolph,West Ham,GK,0.14,0.21,0.19,0.25,0.2,0.25,1.24,4.5,0.28
439,Grimes,Swansea,M,0.13,0.2,0.24,0.21,0.26,0.21,1.23,4.3,0.29
440,Mannone,Sunderland,GK,0.13,0.2,0.2,0.24,0.2,0.25,1.22,4.3,0.28
441,Britton,Swansea,M,0.12,0.19,0.23,0.2,0.25,0.21,1.21,4.3,0.28
442,O'Neil,Norwich,M,0.16,0.21,0.18,0.19,0.2,0.22,1.17,4.3,0.27
443,Kenedy,Chelsea,F,0.23,0.18,0.19,0.16,0.19,0.17,1.13,5.3,0.21
444,Gibson,Everton,M,0.12,0.19,0.21,0.19,0.21,0.19,1.11,4.4,0.25
445,Flanagan,Liverpool,D,0,0.13,0.1,0.24,0.25,0.36,1.07,4.5,0.24
446,Oxford,West Ham,D,0.14,0.19,0.13,0.23,0.11,0.23,1.03,3.9,0.26
447,Woodman,Newcastle,GK,0.22,0.17,0.16,0.15,0.17,0.16,1.03,4,0.26
448,Hooper,Norwich,F,0,0.19,0.18,0.2,0.21,0.23,1,4.3,0.23
449,Odemwingie,Stoke,M,0.12,0.15,0.16,0.18,0.18,0.19,0.98,4.8,0.2
450,Ospina,Arsenal,GK,0.15,0.17,0.16,0.16,0.18,0.16,0.98,4.7,0.21
451,Steven Taylor,Newcastle,D,0,0.09,0.2,0.19,0.26,0.22,0.95,3.9,0.24
452,Rossiter,Liverpool,M,0.13,0.17,0.14,0.17,0.16,0.17,0.94,4.5,0.21
453,Matthews,Sunderland,D,0,0.13,0.15,0.24,0.11,0.32,0.93,4.3,0.22
454,Gamboa,West Brom,D,0.17,0.11,0.14,0.16,0.18,0.13,0.9,3.9,0.23
455,Campbell,Arsenal,F,0.27,0.17,0.12,0.11,0.11,0.1,0.88,5,0.18
456,Wimmer,Tottenham,D,0.14,0.08,0.16,0.13,0.15,0.19,0.85,4.7,0.18
457,Dyer,Watford,M,0.13,0.12,0.13,0.14,0.16,0.15,0.82,4.3,0.19
458,Bridcutt,Sunderland,M,0.09,0.13,0.14,0.16,0.13,0.17,0.82,4.3,0.19
459,Fulton,Swansea,M,0,0.13,0.17,0.15,0.18,0.16,0.79,4.4,0.18
460,Hoban,Watford,D,0.1,0.1,0.12,0.14,0.17,0.15,0.78,3.9,0.2
461,Gouffran,Newcastle,M,0.16,0.12,0.13,0.12,0.13,0.12,0.77,5.6,0.14
462,Pocognoli,West Brom,D,0.17,0.1,0.12,0.13,0.15,0.1,0.77,4.3,0.18
463,Moha,Stoke,M,0.11,0.12,0.12,0.14,0.13,0.14,0.76,4.3,0.18
464,N'Zogbia,Aston Villa,M,0.1,0.12,0.13,0.15,0.13,0.13,0.76,4.6,0.16
465,Sidwell,Stoke,M,0.17,0.12,0.11,0.12,0.11,0.11,0.76,4.3,0.18
466,O'Brien,West Ham,D,0.14,0.14,0.09,0.15,0.08,0.14,0.74,4.4,0.17
467,Alfei,Swansea,D,0.09,0.12,0.16,0.1,0.16,0.08,0.7,4,0.17
468,Holgate,Everton,D,0.19,0.09,0.12,0.09,0.1,0.08,0.68,4,0.17
